,poste,Location,date publication,delai,genre,lien_publication,Entreprise
90,Cyber Security Analyst (H/F) , Rabat/Fes (France)                                ,2023-04-13,2023-05-06,CDI,https://www.rekrute.com/offre-emploi-cyber-security-analyst-hf-recrutement-cnexia-rabatfes-148969.html, cnexia rabatfes 
91,iOS Developer (H/F) , Rabat/Fes (Maroc)                                ,2023-04-13,2023-05-15,Freelance,https://www.rekrute.com/offre-emploi-ios-developer-hf-recrutement-cnexia-rabatfes-148149.html, cnexia rabatfes 
92,Android Developer (H/F) , Rabat/Fes (Maroc)                                ,2023-04-13,2023-05-15,Freelance,https://www.rekrute.com/offre-emploi-android-developer-hf-recrutement-cnexia-rabatfes-148146.html, cnexia rabatfes 
93,Backend Java Developer (H/F) , Rabat/Fes (Maroc)                                ,2023-04-13,2023-05-06,CDI,https://www.rekrute.com/offre-emploi-backend-java-developer-hf-recrutement-cnexia-rabatfes-148971.html, cnexia rabatfes 
94,Web Designer (H/F) , Rabat/Fes (Maroc)                                ,2023-04-13,2023-06-06,CDI,https://www.rekrute.com/offre-emploi-web-designer-hf-recrutement-cnexia-rabatfes-149031.html, cnexia rabatfes 
95,Ingénieur Sécurité et Infrastructure , Sala Al Jadida (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-ingenieur-securite-et-infrastructure-recrutement-sofrecom-services-maroc-sala-al-jadida-149327.html, sofrecom services maroc sala al jadida 
96,Ingénieur d'études - Transport , Salé (Technopolis) (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-ingenieur-detudes---transport-recrutement-novec-sale-technopolis-149332.html, novec sale technopolis 
97,Chargée de la logistique , CASABLANCA (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-chargee-de-la-logistique-recrutement-confidentiel-casablanca-149331.html, confidentiel casablanca 
98,Expert Idéation et Smart-up , Casablanca (Maroc)                                ,2023-04-13,2023-05-20,CDI,https://www.rekrute.com/offre-emploi-expert-ideation-et-smart-up-recrutement-attijariwafa-bank-casablanca-148282.html, attijariwafa bank casablanca 
99,Technicien , Casablanca (Maroc)                                ,2023-04-13,2023-05-30,Autre,https://www.rekrute.com/offre-emploi-technicien-recrutement-cac-centrale-automobile-cherifienne-casablanca-148727.html, cac centrale automobile cherifienne casablanca 
100,Consultant Support FAI , Fes (Maroc)                                ,2023-04-13,2023-06-13,Autre,https://www.rekrute.com/offre-emploi-consultant-support-fai-recrutement-alten-maroc-fes-149329.html, alten maroc fes 
101,Ingénieur Radio , Fès (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-ingenieur-radio-recrutement-alten-maroc-fes-149328.html, alten maroc fes 
102,Chargés Clientèles francophones - casablanca OULFA , casablanca OULFA (Maroc)                                ,2023-04-13,2023-09-05,CDI,https://www.rekrute.com/offre-emploi-charges-clienteles-francophones---casablanca-oulfa-recrutement-leboncall-casablanca-oulfa-147965.html, leboncall casablanca oulfa 
103,Convoyeur de véhicule - Permis C , TANGER (Maroc)                                ,2023-04-13,2023-06-13,Autre,https://www.rekrute.com/offre-emploi-convoyeur-de-vehicule---permis-c-recrutement-manpower-agences-tanger-149326.html, manpower agences tanger 
