,poste,Location,date publication,delai,genre,lien_publication,Entreprise
56,Agents Back Office , casablanca (Maroc)                                ,2023-06-07,2023-07-25,CDI,https://www.rekrute.com/offre-emploi-agents-back-office-recrutement-foundever-ex-sitel-group-casablanca-150912.html, foundever ex sitel group casablanca 
57,Deutschsprachiger Kundenberater , Rabat (Maroc)                                ,2023-06-07,2023-07-17,CDI,https://www.rekrute.com/offre-emploi-deutschsprachiger-kundenberater-recrutement-foundever-ex-sitel-group-rabat-150664.html, foundever ex sitel group rabat 
58,Responsable Développement RH , Rabat (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-responsable-developpement-rh-recrutement-universite-internationale-de-rabat-uir-rabat-151304.html, universite internationale de rabat uir rabat 
59,Responsable Audit H/F , Rabat (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-responsable-audit-hf-recrutement-universite-internationale-de-rabat-uir-rabat-151343.html, universite internationale de rabat uir rabat 
60,Ingénieur transmission radio , casablanca (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-transmission-radio-recrutement-akkodis-maroc-casablanca-151321.html, akkodis maroc casablanca 
61,Responsable Bureau d’Etude - Installations Electriques H/F , Casablanca (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-responsable-bureau-detude---installations-electriques-hf-recrutement-manpower-agences-casablanca-151342.html, manpower agences casablanca 
62,Conseiller Clientèle (Temps partiel) Franco-Anglophone (H/F) , Rabat (Maroc)                                ,2023-06-07,2023-07-17,CDD,https://www.rekrute.com/offre-emploi-conseiller-clientele-temps-partiel-franco-anglophone-hf-recrutement-wengage-maroc-rabat-150651.html, wengage maroc rabat 
63,Ingénieur Electro-Mécanicien , Casablanca (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-electro-mecanicien-recrutement-societe-des-boissons-du-maroc-casablanca-151341.html, societe des boissons du maroc casablanca 
64,Ingénieur agroalimentaire / procédés industriels , Casablanca (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-agroalimentaire-procedes-industriels-recrutement-societe-des-boissons-du-maroc-casablanca-151340.html, societe des boissons du maroc casablanca 
65,Juriste en droit de conseil et de contentieux , Casablanca (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-juriste-en-droit-de-conseil-et-de-contentieux-recrutement-bbl-casablanca-151334.html, bbl casablanca 
66,Ingénieur Electricien , Salé (Technopolis) (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-electricien-recrutement-novec-sale-technopolis-151327.html, novec sale technopolis 
67,Chargé(e) de relation partenariat , Casablanca (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-chargee-de-relation-partenariat-recrutement-intelcia-casablanca-151337.html, intelcia casablanca 
68,TEAM LEADER , Meknes (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-team-leader-recrutement-intelcia-meknes-151336.html, intelcia meknes 
69,Agents de Voyage Franco-Anglophones , Marrakech (Maroc)                                ,2023-06-07,2023-07-08,Autre,https://www.rekrute.com/offre-emploi-agents-de-voyage-franco-anglophones-recrutement-webhelp-maroc-marrakech-151335.html, webhelp maroc marrakech 
70,Conseillers Clients Franco-Anglophones – Rémunération Attractive - à Marrakech , Marrakech (Maroc)                                ,2023-06-07,2023-09-07,Autre,https://www.rekrute.com/offre-emploi-conseillers-clients-franco-anglophones-remuneration-attractive---a-marrakech-recrutement-webhelp-maroc-marrakech-150356.html, webhelp maroc marrakech 
71,Télévendeurs - Primes Déplafonnées , Kénitra (Maroc)                                ,2023-06-07,2023-07-08,Autre,https://www.rekrute.com/offre-emploi-televendeurs---primes-deplafonnees-recrutement-webhelp-maroc-kenitra-150757.html, webhelp maroc kenitra 
72,Conseillers Clients Back Office Digital , Fès (Maroc)                                ,2023-06-07,2023-09-07,Autre,https://www.rekrute.com/offre-emploi-conseillers-clients-back-office-digital-recrutement-webhelp-maroc-fes-150353.html, webhelp maroc fes 
73,Conseillers Commerciaux (H/F) , Fès (Maroc)                                ,2023-06-07,2023-09-07,Autre,https://www.rekrute.com/offre-emploi-conseillers-commerciaux-hf-recrutement-webhelp-maroc-fes-150354.html, webhelp maroc fes 
74,Conseillers Clients en Assistance Commerciale , Casablanca (Maroc)                                ,2023-06-07,2023-07-08,Autre,https://www.rekrute.com/offre-emploi-conseillers-clients-en-assistance-commerciale-recrutement-webhelp-maroc-casablanca-151333.html, webhelp maroc casablanca 
75,Conseillers Commerciaux (H/F) , Agadir (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-conseillers-commerciaux-hf-recrutement-webhelp-maroc-agadir-151332.html, webhelp maroc agadir 
76,Conseillers Clients Francophones - Secteur Travel , Agadir (Maroc)                                ,2023-06-07,2023-03-07,Autre,https://www.rekrute.com/offre-emploi-conseillers-clients-francophones---secteur-travel-recrutement-webhelp-maroc-agadir-150082.html, webhelp maroc agadir 
77,Conseillers Clients Franco Anglophones - Secteur High Tech- , Agadir (Maroc)                                ,2023-06-07,2023-09-07,Autre,https://www.rekrute.com/offre-emploi-conseillers-clients-franco-anglophones---secteur-high-tech--recrutement-webhelp-maroc-agadir-150351.html, webhelp maroc agadir 
78,Nouveau chez Webhelp : Télévendeurs à temps partiel à Kénitra , Kénitra (Maroc)                                ,2023-06-07,2023-06-14,Autre,https://www.rekrute.com/offre-emploi-nouveau-chez-webhelp-televendeurs-a-temps-partiel-a-kenitra-recrutement-webhelp-maroc-kenitra-149371.html, webhelp maroc kenitra 
79,"Conseillers Commerciaux en assurance, Postulez et gagnez une prime de bienvenue! ", Kénitra (Maroc)                                ,2023-06-07,2023-07-29,Autre,https://www.rekrute.com/offre-emploi-conseillers-commerciaux-en-assurance-postulez-et-gagnez-une-prime-de-bienvenue-recrutement-webhelp-maroc-kenitra-150998.html, webhelp maroc kenitra 
80,Télévendeurs à Salé avec 1500 DH de prime de bienvenue ! , Salé (Maroc)                                ,2023-06-07,2023-07-08,Autre,https://www.rekrute.com/offre-emploi-televendeurs-a-sale-avec-1500-dh-de-prime-de-bienvenue-recrutement-webhelp-maroc-sale-151331.html, webhelp maroc sale 
81,Chargé(e) de clientèle Bilingue (Franco-Anglo) en réception d'appels , FES (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-chargee-de-clientele-bilingue-franco-anglo-en-reception-dappels-recrutement-cnexia-fes-151322.html, cnexia fes 
82,Ingénieur Radio Mobile (H/F) , Rabat (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-radio-mobile-hf-recrutement-sofrecom-maroc-rabat-151315.html, sofrecom maroc rabat 
83,Ingénieur développeur JAVA JEE  Sénior (H/F) , Oujda (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-developpeur-java-jee-senior-hf-recrutement-sqli-maroc-oujda-151312.html, sqli maroc oujda 
84,Consultant Expérimenté Fonctionnel AMOA ERP F/H , Casablanca (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-consultant-experimente-fonctionnel-amoa-erp-fh-recrutement-deloitte-extended-services-casablanca-151326.html, deloitte extended services casablanca 
85,Consultant Expérimenté Opérations Financières F/H , Casablanca (Maroc)                                ,2023-06-07,2023-07-08,CDI,https://www.rekrute.com/offre-emploi-consultant-experimente-operations-financieres-fh-recrutement-deloitte-extended-services-casablanca-151325.html, deloitte extended services casablanca 
