,poste,Location,date publication,delai,genre,lien_publication,Entreprise
38,Telecommunications Engineer - Siemens Gamesa Renewable Energy , casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-telecommunications-engineer---siemens-gamesa-renewable-energy-recrutement-xpertize-africa-casablanca-151266.html, xpertize africa casablanca 
39,Trader produits libre service , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-trader-produits-libre-service-recrutement-groupe-labelvie---carrefour-casablanca-151264.html, groupe labelvie   carrefour casablanca 
40,Trader Non Alimentaire , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-trader-non-alimentaire-recrutement-groupe-labelvie---carrefour-casablanca-151263.html, groupe labelvie   carrefour casablanca 
41,Ingénieur Transport , Salé (Technopolis) (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-transport-recrutement-novec-sale-technopolis-151262.html, novec sale technopolis 
42,Développeur BI Sénior (H/F) , Casablanca (Maroc)                                ,2023-06-06,2023-02-07,CDI,https://www.rekrute.com/offre-emploi-developpeur-bi-senior-hf-recrutement-aria-tech-casablanca-149982.html, aria tech casablanca 
43,Développeur Full Stack de Talent Expérimenté - PHP7 (H/F) , Casablanca (Maroc)                                ,2023-06-06,2023-01-08,CDI,https://www.rekrute.com/offre-emploi-developpeur-full-stack-de-talent-experimente---php7-hf-recrutement-rekrute-casablanca-150337.html, rekrute casablanca 
44,Responsable Marketing Polyvalent Anglophone (H/F) , Casablanca (Maroc)                                ,2023-06-06,2023-09-07,CDI,https://www.rekrute.com/offre-emploi-responsable-marketing-polyvalent-anglophone-hf-recrutement-arcol-casablanca-149347.html, arcol casablanca 
45,Testeur QA , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-testeur-qa-recrutement-akkodis-maroc-casablanca-151261.html, akkodis maroc casablanca 
46,Développeur PHP / Symfony , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,Freelance,https://www.rekrute.com/offre-emploi-developpeur-php-symfony-recrutement-altados-casablanca-151260.html, altados casablanca 
47,Technicien(ne) Barrages , Salé (Technopolis) (Maroc)                                ,2023-06-06,2023-07-30,CDD,https://www.rekrute.com/offre-emploi-technicienne-barrages-recrutement-novec-sale-technopolis-151072.html, novec sale technopolis 
48,Manager H/F , Fès (Maroc)                                ,2023-06-06,2023-07-15,CDI,https://www.rekrute.com/offre-emploi-manager-hf-recrutement-mcdonalds-maroc-fes-150555.html, mcdonalds maroc fes 
49,Manager Relation Client , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-manager-relation-client-recrutement-unifitel-casablanca-150562.html, unifitel casablanca 
50,Formateur Métiers de la Vente , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-formateur-metiers-de-la-vente-recrutement-unifitel-casablanca-150567.html, unifitel casablanca 
